_id,week,isbn,count
6034ce981684f84ba84d5a5e,1,195153448,93
6034ce981684f84ba84d5a5f,1,887841740,100
6034ce981684f84ba84d5a60,1,971880107,25
6034ce981684f84ba84d5a61,1,375759778,21
6034ce981684f84ba84d5a62,1,3404921038,88
6034ce981684f84ba84d5a63,1,449005615,89
6034ce981684f84ba84d5a64,1,425182908,21
6034ce981684f84ba84d5a65,1,042518630X,36
6034ce981684f84ba84d5a66,1,964778319,87
6034ce981684f84ba84d5a67,1,2070423204,48
6034ce981684f84ba84d5a68,1,1414035004,59
6034ce981684f84ba84d5a69,1,60938412,74
6034ce981684f84ba84d5a6a,1,345465083,38
6034ce981684f84ba84d5a6b,1,743403843,49
6034ce981684f84ba84d5a6c,1,71416331,39
6034ce981684f84ba84d5a6d,1,375509038,73
6034ce981684f84ba84d5a6e,1,316973742,37
6034ce981684f84ba84d5a6f,1,786868716,35
6034ce981684f84ba84d5a70,1,8472238822,32
6034ce981684f84ba84d5a71,1,446612545,18
6034ce981684f84ba84d5a72,1,446612618,83
6034ce981684f84ba84d5a73,1,451208080,66
6034ce981684f84ba84d5a74,1,553584383,72
6034ce981684f84ba84d5a75,1,316735736,77
6034ce981684f84ba84d5a76,1,743249992,89
6034ce981684f84ba84d5a77,1,425184226,19
6034ce981684f84ba84d5a78,1,451205197,80
6034ce981684f84ba84d5a79,1,038572179X,37
6034ce981684f84ba84d5a7a,1,345425294,50
6034ce981684f84ba84d5a7b,1,451410319,69
6034ce981684f84ba84d5a7c,1,385336772,48
6034ce981684f84ba84d5a7d,1,505524996,62
6034ce981684f84ba84d5a7e,1,385337639,89
6034ce981684f84ba84d5a7f,1,451206673,16
6034ce981684f84ba84d5a80,1,3257203659,41
6034ce981684f84ba84d5a81,1,3257208669,26
6034ce981684f84ba84d5a82,1,3257233051,50
6034ce981684f84ba84d5a83,1,3453212150,57
6034ce981684f84ba84d5a84,1,3492045642,96
6034ce981684f84ba84d5a85,1,3498020862,24
6034ce981684f84ba84d5a86,1,3548254268,37
6034ce981684f84ba84d5a87,1,316602906,17
6034ce981684f84ba84d5a88,1,316693006,57
6034ce981684f84ba84d5a89,1,385508042,78
6034ce981684f84ba84d5a8a,1,385509456,43
6034ce981684f84ba84d5a8b,1,385511612,10
6034ce981684f84ba84d5a8c,1,385730586,70
6034ce981684f84ba84d5a8d,1,449006522,35
6034ce981684f84ba84d5a8e,1,051513290X,23
6034ce981684f84ba84d5a8f,1,671027387,96
6034ce981684f84ba84d5a90,1,151008116,63
6034ce981684f84ba84d5a91,1,525947647,70
6034ce981684f84ba84d5a92,1,006102063X,87
6034ce981684f84ba84d5a93,1,60013117,78
6034ce981684f84ba84d5a94,1,60563079,67
6034ce981684f84ba84d5a95,1,373836023,94
6034ce981684f84ba84d5a96,1,375814248,33
6034ce981684f84ba84d5a97,1,385327773,58
6034ce981684f84ba84d5a98,1,439510112,89
6034ce981684f84ba84d5a99,1,440241413,21
6034ce981684f84ba84d5a9a,1,451526341,63
6034ce981684f84ba84d5a9b,1,670035262,23
6034ce981684f84ba84d5a9c,1,743245024,90
6034ce981684f84ba84d5a9d,1,749748001,74
6034ce981684f84ba84d5a9e,1,749748028,61
6034ce981684f84ba84d5a9f,1,156971620X,41
6034ce981684f84ba84d5aa0,1,1592571301,43
6034ce981684f84ba84d5aa1,1,375719180,55
6034ce981684f84ba84d5aa2,1,972044205,29
6034ce981684f84ba84d5aa3,1,312988699,90
6034ce981684f84ba84d5aa4,1,1573228737,67
6034ce981684f84ba84d5aa5,1,8484509141,43
6034ce981684f84ba84d5aa6,1,771076002,85
6034ce981684f84ba84d5aa7,1,142001740,79
6034ce981684f84ba84d5aa8,1,312995423,36
6034ce981684f84ba84d5aa9,1,743411269,92
